time, node0_(3), node0_(2), node1_(3), node1_(2), node2_(3), node2_(2), node3_(3), node3_(2)
325, 84, 52, 2, 0, 0, 2, 0, 0
326, 85, 53, 2, 0, 0, 2, 0, 0
327, 85, 53, 2, 0, 0, 2, 0, 0
328, 86, 54, 2, 0, 0, 2, 0, 0
329, 87, 55, 2, 0, 0, 2, 0, 0
330, 87, 55, 2, 0, 0, 2, 0, 0
331, 87, 55, 2, 0, 0, 2, 0, 0
332, 87, 55, 2, 0, 0, 2, 0, 0
333, 88, 56, 2, 0, 0, 2, 0, 0
334, 85, 57, 6, 0, 0, 2, 0, 0
335, 81, 57, 10, 0, 0, 2, 0, 0
336, 77, 57, 14, 0, 0, 2, 0, 0
337, 74, 58, 18, 0, 0, 2, 0, 0
338, 71, 59, 22, 0, 0, 2, 0, 0
339, 67, 59, 26, 0, 0, 2, 0, 0
340, 65, 61, 30, 0, 0, 2, 0, 0
341, 64, 64, 34, 0, 0, 2, 0, 0
342, 66, 66, 34, 0, 0, 2, 0, 0
343, 68, 68, 34, 0, 0, 2, 0, 0
344, 64, 68, 34, 0, 0, 2, 0, 0
345, 63, 71, 34, 0, 0, 2, 0, 0
346, 59, 71, 34, 0, 0, 2, 0, 0
347, 58, 74, 34, 0, 0, 2, 0, 0
348, 55, 75, 34, 0, 0, 2, 0, 0
349, 51, 75, 34, 0, 0, 2, 0, 0
350, 48, 76, 34, 0, 0, 2, 0, 0
351, 44, 76, 34, 0, 0, 2, 0, 0
352, 41, 77, 34, 0, 0, 2, 0, 0
353, 39, 79, 34, 0, 0, 2, 0, 0
354, 41, 81, 34, 0, 0, 2, 0, 0
355, 41, 81, 30, 0, 0, 2, 0, 0
356, 41, 81, 26, 0, 0, 2, 0, 0
357, 41, 81, 22, 0, 0, 2, 0, 0
358, 42, 82, 18, 0, 0, 2, 0, 0
359, 44, 84, 14, 0, 0, 2, 0, 0
360, 46, 86, 10, 0, 0, 2, 0, 0
361, 47, 87, 6, 0, 0, 2, 0, 0
362, 48, 86, 2, 2, 0, 2, 0, 0
363, 48, 84, 2, 4, 0, 2, 0, 0
364, 48, 82, 2, 6, 0, 2, 0, 0
365, 48, 80, 2, 8, 0, 2, 0, 0
366, 48, 78, 2, 10, 0, 2, 0, 0
367, 48, 76, 2, 12, 0, 2, 0, 0
368, 48, 74, 2, 14, 0, 2, 0, 0
369, 50, 74, 2, 16, 0, 2, 0, 0
370, 52, 74, 2, 18, 0, 2, 0, 0
371, 54, 74, 2, 20, 0, 2, 0, 0
372, 55, 73, 2, 22, 0, 2, 0, 0
373, 55, 71, 2, 24, 0, 2, 0, 0
374, 56, 66, 2, 26, 0, 6, 0, 0
375, 56, 60, 2, 28, 0, 6, 0, 0
376, 57, 55, 2, 30, 0, 6, 0, 0
377, 59, 55, 2, 28, 0, 6, 0, 0
378, 59, 53, 2, 26, 0, 6, 0, 0
379, 61, 53, 2, 24, 0, 6, 0, 0
380, 62, 52, 2, 22, 0, 6, 0, 0
381, 65, 53, 2, 20, 0, 6, 0, 0
382, 65, 51, 2, 18, 0, 6, 0, 0
383, 65, 49, 2, 16, 0, 6, 0, 0
384, 66, 48, 2, 12, 0, 6, 0, 0
385, 67, 47, 2, 6, 0, 8, 0, 0
386, 68, 46, 2, 0, 0, 10, 0, 0
387, 74, 48, 2, 2, 0, 6, 0, 0
388, 74, 46, 2, 4, 0, 2, 0, 0
389, 74, 44, 2, 4, 0, 2, 0, 0
390, 75, 43, 2, 4, 0, 2, 0, 0
391, 77, 43, 2, 4, 0, 2, 0, 0
392, 81, 45, 2, 4, 0, 2, 0, 0
393, 81, 43, 2, 4, 0, 2, 0, 0
394, 81, 45, 2, 2, 0, 0, 0, 0
395, 82, 48, 2, 0, 0, 0, 0, 0
396, 82, 48, 2, 0, 0, 0, 0, 0
397, 78, 48, 6, 0, 0, 0, 0, 0
398, 76, 50, 10, 0, 0, 0, 0, 0
399, 73, 51, 14, 0, 0, 0, 0, 0
400, 70, 52, 18, 0, 0, 0, 0, 0
401, 66, 52, 22, 0, 0, 0, 0, 0
402, 63, 53, 26, 0, 0, 0, 0, 0
403, 60, 54, 30, 0, 0, 0, 0, 0
404, 57, 55, 34, 0, 0, 0, 0, 0
405, 58, 56, 34, 0, 0, 0, 0, 0
406, 59, 57, 34, 0, 0, 0, 0, 0
407, 59, 57, 34, 0, 0, 0, 0, 0
408, 59, 57, 34, 0, 0, 0, 0, 0
409, 62, 60, 34, 0, 0, 0, 0, 0
410, 64, 62, 34, 0, 0, 0, 0, 0
411, 65, 63, 34, 0, 0, 0, 0, 0
412, 66, 64, 34, 0, 0, 0, 0, 0
413, 68, 66, 34, 0, 0, 0, 0, 0
414, 64, 66, 34, 0, 0, 0, 0, 0
415, 61, 67, 34, 0, 0, 0, 0, 0
416, 57, 67, 34, 0, 0, 0, 0, 0
417, 55, 69, 34, 0, 0, 0, 0, 0
418, 52, 70, 30, 0, 0, 0, 0, 0
419, 48, 70, 26, 0, 0, 0, 0, 0
420, 44, 70, 22, 0, 0, 0, 0, 0
421, 41, 71, 18, 0, 0, 0, 0, 0
422, 39, 73, 14, 0, 0, 0, 0, 0
423, 37, 75, 10, 0, 0, 0, 0, 0
424, 38, 76, 6, 0, 0, 0, 0, 0
425, 39, 75, 2, 2, 0, 0, 0, 0
426, 41, 75, 2, 4, 0, 0, 0, 0
427, 43, 75, 2, 6, 0, 0, 0, 0
428, 45, 75, 2, 8, 0, 0, 0, 0
429, 45, 73, 2, 10, 0, 0, 0, 0
430, 45, 71, 2, 12, 0, 0, 0, 0
431, 45, 69, 2, 14, 0, 0, 0, 0
432, 47, 69, 2, 16, 0, 0, 0, 0
433, 48, 68, 2, 18, 0, 0, 0, 0
434, 48, 66, 2, 20, 0, 0, 0, 0
435, 49, 65, 2, 22, 0, 0, 0, 0
436, 50, 64, 2, 24, 0, 0, 0, 0
437, 50, 62, 2, 26, 0, 0, 0, 0
438, 52, 62, 2, 28, 0, 0, 0, 0
439, 52, 60, 2, 30, 0, 0, 0, 0
440, 52, 58, 2, 32, 0, 0, 0, 0
441, 53, 57, 2, 34, 0, 0, 0, 0
442, 54, 60, 2, 32, 0, 0, 0, 0
443, 54, 62, 2, 30, 0, 0, 0, 0
